feature,importance,rank,importance_pct,cumulative_pct
459_17,26.474056243896484,64,0.822394605403566,70.33202103918212
291_0,26.376583099365234,65,0.8193666829916877,71.15138772217381
427_0,26.36318588256836,66,0.8189505095606249,71.97033823173443
397_35,26.151247024536133,67,0.8123668046717573,72.78270503640618
459_6,26.151042938232422,68,0.8123604648999573,73.59506550130614
459_19,25.981056213378906,69,0.8070799682423293,74.40214546954847
272_3,25.663135528564453,70,0.7972040257827038,75.19934949533118
459_18,25.601078033447266,71,0.7952762611538513,75.99462575648502
397_7,25.50629234313965,72,0.7923318222790412,76.78695757876406
272_5,25.45901870727539,73,0.7908633059793698,77.57782088474343
397_10,25.31182861328125,74,0.7862909677568305,78.36411185250026
397_25,25.243606567382812,75,0.7841717064694935,79.14828355896975
167_0,25.11224365234375,76,0.7800910264375804,79.92837458540733
397_30,25.057842254638672,77,0.7784010921265364,80.70677567753387
167_9,24.976181030273438,78,0.7758643539036545,81.48264003143753
291_3,24.89630126953125,79,0.7733829553710647,82.25602298680859
158_4,24.847707748413086,80,0.771873437930406,83.027896424739
397_27,24.736221313476562,81,0.7684102042716572,83.79630662901066
397_13,24.648427963256836,82,0.7656829766437543,84.56198960565442
397_20,24.565723419189453,83,0.763113828559427,85.32510343421384
397_16,24.419952392578125,84,0.7585855724884695,86.08368900670231
291_8,24.131132125854492,85,0.7496136103872899,86.8333026170896
291_6,24.072616577148438,86,0.7477958733867809,87.58109849047638
459_1,23.988981246948242,87,0.745197811203029,88.3262963016794
291_9,23.61517906188965,88,0.7335859562742579,89.05988225795366
397_1,23.542505264282227,89,0.7313284050113942,89.79121066296506
459_16,23.15370750427246,90,0.719250724980827,90.51046138794588
397_2,23.0604248046875,91,0.7163529752665632,91.22681436321244
397_34,22.972248077392578,92,0.7136138383477088,91.94042820156015
837_0,22.678524017333984,93,0.7044895439727163,92.64491774553287
397_14,22.635440826416016,94,0.7031512003706596,93.34806894590352
291_7,22.069910049438477,95,0.6855834557118394,94.03365240161536
167_4,21.97829818725586,96,0.6827376091760511,94.7163900107914
272_9,21.561077117919922,97,0.6697769826093652,95.38616699340076
370_0,21.181255340576172,98,0.6579781340375938,96.04414512743836
397_4,21.009239196777344,99,0.6526345951631874,96.69677972260155
158_8,20.61188507080078,100,0.640291118718647,97.3370708413202
291_2,20.252023696899414,101,0.6291123235290044,97.9661831648492
272_8,18.571269989013672,102,0.5769011032443928,98.5430842680936
167_8,18.2539005279541,103,0.5670422840936478,99.11012655218724
397_11,16.1466007232666,104,0.5015807629962702,99.61170731518351
171_0,12.499695777893066,105,0.3882926848164772,99.99999999999999
